l=2, n=62, t=3, Greedy Time: 0.0978 seconds, B&B Time: 0.0000 seconds
l=2, n=62, t=4, Greedy Time: 0.1190 seconds, B&B Time: 0.0010 seconds
l=2, n=62, t=5, Greedy Time: 0.1840 seconds, B&B Time: 0.0010 seconds
l=2, n=63, t=2, Greedy Time: 0.0470 seconds, B&B Time: 0.0010 seconds
l=2, n=63, t=3, Greedy Time: 0.0950 seconds, B&B Time: 0.0010 seconds
l=2, n=63, t=4, Greedy Time: 0.1420 seconds, B&B Time: 0.0010 seconds
l=2, n=63, t=5, Greedy Time: 0.1990 seconds, B&B Time: 0.0010 seconds
l=2, n=64, t=2, Greedy Time: 0.0640 seconds, B&B Time: 0.0000 seconds
l=2, n=64, t=3, Greedy Time: 0.0880 seconds, B&B Time: 0.0010 seconds
l=2, n=64, t=4, Greedy Time: 0.1579 seconds, B&B Time: 0.0010 seconds
l=2, n=64, t=5, Greedy Time: 0.2725 seconds, B&B Time: 0.0020 seconds
l=2, n=65, t=2, Greedy Time: 0.0600 seconds, B&B Time: 0.0020 seconds
l=2, n=65, t=3, Greedy Time: 0.1470 seconds, B&B Time: 0.0010 seconds
l=2, n=65, t=4, Greedy Time: 0.2270 seconds, B&B Time: 0.0010 seconds
l=2, n=65, t=5, Greedy Time: 0.3960 seconds, B&B Time: 0.0010 seconds
l=2, n=66, t=2, Greedy Time: 0.0820 seconds, B&B Time: 0.0010 seconds
l=2, n=66, t=3, Greedy Time: 0.1160 seconds, B&B Time: 0.0010 seconds
l=2, n=66, t=4, Greedy Time: 0.2350 seconds, B&B Time: 0.0020 seconds
l=2, n=66, t=5, Greedy Time: 0.2830 seconds, B&B Time: 0.0010 seconds
l=2, n=67, t=2, Greedy Time: 0.0610 seconds, B&B Time: 0.0010 seconds
l=2, n=67, t=3, Greedy Time: 0.2090 seconds, B&B Time: 0.0010 seconds
l=2, n=67, t=4, Greedy Time: 0.1890 seconds, B&B Time: 0.0020 seconds
l=2, n=67, t=5, Greedy Time: 0.3218 seconds, B&B Time: 0.0010 seconds
l=2, n=68, t=2, Greedy Time: 0.0570 seconds, B&B Time: 0.0010 seconds
l=2, n=68, t=3, Greedy Time: 0.1190 seconds, B&B Time: 0.0010 seconds
l=2, n=68, t=4, Greedy Time: 0.2091 seconds, B&B Time: 0.0010 seconds
l=2, n=68, t=5, Greedy Time: 0.2540 seconds, B&B Time: 0.0010 seconds
l=2, n=69, t=2, Greedy Time: 0.0530 seconds, B&B Time: 0.0000 seconds
l=2, n=69, t=3, Greedy Time: 0.1211 seconds, B&B Time: 0.0010 seconds
l=2, n=69, t=4, Greedy Time: 0.2210 seconds, B&B Time: 0.0010 seconds
